TaxonName,Rank,Bacteria_category,Inflammatory,Oral,Gases
Helicobacter,G,Патоген,1,,
Helicobacter canis,S,Патоген,1,,
Helicobacter fennelliae,S,Патоген,1,,
Helicobacter hepaticus,S,Патоген,1,,
Helicobacter pullorum,S,Патоген,1,,
Helicobacter pylori,S,Патоген,1,,
Helicobacter suis,S,Патоген,1,,
Hungatella,G,Условно-нормальный,1,,
Klebsiella,G,Условно-нормальный,1,1,
Klebsiella oxytoca,S,Патоген,1,,
Klebsiella pneumoniae,S,Патоген,1,,
Lachnoclostridium,G,Условно-нормальный,1,,1
Lachnoclostridium saccharolyticum,S,Условно-нормальный,1,,1
Leminorella,G,Патоген,1,,
Listeria,G,Патоген,1,,
Listeria monocytogenes,S,Патоген,1,,
Megasphaera,G,Условно-нормальный,,,
Methanobrevibacter,G,Условно-нормальный,,1,1
Microbacterium,G,Условно-нормальный,1,,
Moellerella,G,Условно-нормальный,1,,
Moraxella,G,Патоген,1,1,
Morganella,G,Условно-нормальный,1,,
Morganella morganii,S,Условно-нормальный,1,,
Muribaculaceae,F,Условно-нормальный,1,,
Mycobacterium,G,Патоген,1,1,
Mycobacterium avium,S,Патоген,1,,
Mycoplasma,G,Патоген,1,1,
Mycoplasma pneumoniae,S,Патоген,1,,
Negativibacillus,G,Условно-нормальный,1,,
Neisseria,G,Условно-нормальный,1,1,
Neisseria gonorrhoeae,S,Патоген,1,,
Neisseria meningitidis,S,Патоген,1,1,
Paeniclostridium,G,Условно-нормальный,1,,
Pantoea,G,Условно-нормальный,1,,
Paraeggerthella,G,Условно-нормальный,1,,
Parvimonas,G,Условно-нормальный,1,,
Parvimonas micra,S,Условно-нормальный,1,,
Pasteurella,G,Условно-нормальный,1,,
Pasteurellaceae,F,Условно-нормальный,1,,
Peptococcus,G,Условно-нормальный,1,,
Peptococcus niger,S,Условно-нормальный,1,,
Peptoniphilus,G,Условно-нормальный,1,1,
Peptoniphilus asaccharolyticus,S,Условно-нормальный,1,,
Peptoniphilus coxii,S,Условно-нормальный,1,,
Peptoniphilus duerdenii,S,Условно-нормальный,1,,
Peptoniphilus gorbachii,S,Условно-нормальный,1,,
Peptoniphilus harei,S,Условно-нормальный,1,,
Peptoniphilus indolicus,S,Условно-нормальный,1,,
Peptoniphilus ivorii,S,Условно-нормальный,1,,
Peptoniphilus koenoeneniae,S,Условно-нормальный,1,,
Peptoniphilus lacrimalis,S,Условно-нормальный,1,,
Peptoniphilus olsenii,S,Условно-нормальный,1,,
Peptoniphilus tyrrelliae,S,Условно-нормальный,1,,
Peptostreptococcaceae,F,Условно-нормальный,1,,
Peptostreptococcales-Tissierellales,O,Условно-нормальный,1,,
Peptostreptococcus,G,Условно-нормальный,1,,
Peptostreptococcus anaerobius,S,Условно-нормальный,1,,
Peptostreptococcus stomatis,S,Условно-нормальный,1,1,
Pluralibacter,G,Условно-нормальный,1,,
Porphyromonas,G,Условно-нормальный,1,1,
Proteus,G,Условно-нормальный,1,,
Proteus mirabilis,S,Условно-нормальный,,,
Providencia,G,Условно-нормальный,1,,
Pseudomonadaceae,F,Условно-нормальный,1,1,
Pseudomonadales,O,Условно-нормальный,1,1,
Pseudomonas,G,Условно-нормальный,1,1,
Pseudomonas aeruginosa,S,Патоген,1,,
Raoultella,G,Условно-нормальный,1,,
Rothia,G,Условно-нормальный,,1,
Rothia mucilaginosa,S,Условно-нормальный,,1,
Ruthenibacterium,G,Условно-нормальный,,,
Salmonella,G,Патоген,1,,
Salmonella enterica,S,Патоген,1,,
Salmonella paratyphi,S,Патоген,1,,
Salmonella typhi,S,Патоген,1,,
Serratia,G,Патоген,1,1,
Shigella,G,Патоген,1,,
Shigella boydii,S,Патоген,1,,
Shigella dysenteriae,S,Патоген,1,,
Shigella flexneri,S,Патоген,1,,
Shigella sonnei,S,Патоген,1,,
Solobacterium,G,Условно-нормальный,,1,
Solobacterium moorei,S,Условно-нормальный,,1,
Spirochaetaceae,F,Условно-нормальный,,,
Staphylococcus,G,Условно-нормальный,1,,
Staphylococcus aureus,S,Патоген,1,,
Staphylococcus lugdunensis,S,Патоген,1,,
Staphylococcus saprophyticus,S,Патоген,1,,
Staphylococcus warneri,S,Патоген,1,,
Stenotrophomonas,G,Условно-нормальный,1,,
Stenotrophomonas maltophyla,S,Условно-нормальный,1,,
Sutterella,G,Условно-нормальный,1,,
Sutterellaceae,F,Условно-нормальный,1,,
Tannerellaceae,F,Условно-нормальный,1,1,
Veillonella,G,Условно-нормальный,1,,1
Veillonella parvula,S,Условно-нормальный,1,,1
Veillonellaceae,F,Условно-нормальный,1,,1
Vibrio,G,Условно-нормальный,1,,
Vibrio alginolyticus,S,Патоген,1,,
Vibrio cholerae,S,Патоген,1,,
Vibrio mimicus,S,Патоген,1,,
Vibrio parahaemolyticus,S,Патоген,1,,
Vibrio vulnificus,S,Патоген,1,,
Yersinia,G,Патоген,1,,
Yersinia enterocolitica,S,Патоген,1,,
Yersinia pseudotuberculosis,S,Патоген,1,,
